"";"X_id";"algorithm";"edges";"graphRepresentation";"graphType";"instance";"machine";"nodes";"runtime";"threads";"timestamp"
"81";82;"paraBFS";39945;"vector";"barabasi";"004k.edges";"joshua";4000;0,058882;24;"2018-08-29 12:34:36"
"82";83;"paraBFS";79945;"vector";"barabasi";"008k.edges";"joshua";8000;0,203839;24;"2018-08-29 12:34:36"
"83";84;"paraBFS";99945;"vector";"barabasi";"010k.edges";"joshua";10000;0,343501;24;"2018-08-29 12:34:36"
"84";85;"paraBFS";199945;"vector";"barabasi";"020k.edges";"joshua";20000;0,930019;24;"2018-08-29 12:34:37"
"85";86;"paraBFS";299945;"vector";"barabasi";"030k.edges";"joshua";30000;2,829221;24;"2018-08-29 12:34:38"
"86";87;"paraBFS";399945;"vector";"barabasi";"040k.edges";"joshua";40000;3,896953;24;"2018-08-29 12:34:43"
"87";88;"paraBFS";499945;"vector";"barabasi";"050k.edges";"joshua";50000;6,31714;24;"2018-08-29 12:34:50"
"88";89;"paraBFS";599945;"vector";"barabasi";"060k.edges";"joshua";60000;9,488213;24;"2018-08-29 12:35:03"
"89";90;"paraBFS";699945;"vector";"barabasi";"070k.edges";"joshua";70000;13,493143;24;"2018-08-29 12:35:21"
"90";91;"paraBFS";799945;"vector";"barabasi";"080k.edges";"joshua";80000;17,415744;24;"2018-08-29 12:35:46"
"91";92;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,001723;12;"2018-08-30 09:10:32"
"92";93;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,00228;12;"2018-08-30 09:10:32"
"93";94;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,009212;12;"2018-08-30 09:10:32"
"94";95;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,001741;1;"2018-08-30 09:10:32"
"95";96;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,006352;1;"2018-08-30 09:10:32"
